2017,Temp. (°F),,,Dew Point (°F),,,Humidity (%),,,Sea Level Press. (in),,,Visibility (mi),,,Wind (mph),,,Precip. (in),Events
Jan,high,avg,low,high,avg,low,high,avg,low,high,avg,low,high,avg,low,high,avg,high,sum,
1,55,46,37,36,29,22,76,50,25,30.38,30.21,29.99,10,10,10,13,5,-,0.04,
2,45,43,41,44,42,34,100,94,52,30.4,30.32,30.18,10,4,1,12,7,-,0.24,Rain
3,46,44,43,46,44,42,100,97,85,30.15,29.81,29.56,10,4,1,10,7,-,0.79,Rain
4,57,47,36,49,39,9,100,82,13,29.91,29.62,29.54,10,4,0,16,8,30,0,Fog
5,37,34,30,28,17,9,75,47,23,30.07,29.98,29.92,10,10,5,12,7,-,0,Snow
6,34,31,28,30,17,8,82,53,28,30.3,30.12,29.92,10,10,9,16,12,22,0,Snow
7,27,23,19,18,11,4,84,63,42,30.36,30.28,30.22,10,7,1,23,15,30,0.01,Snow
8,25,20,15,3,0,-3,54,43,32,30.76,30.55,30.36,10,10,10,29,14,38,0,
9,29,23,16,9,4,-1,54,44,34,30.8,30.72,30.64,10,10,10,17,9,22,0,
10,41,32,22,25,15,8,60,49,38,30.61,30.47,30.21,10,10,10,28,12,33,0,
11,57,46,35,49,38,33,92,72,51,30.37,30.27,30.2,10,10,7,23,9,28,0.07,Rain
12,72,62,51,53,51,49,96,73,49,30.2,30.13,30.05,10,10,10,30,19,37,0.02,
13,65,54,43,52,35,22,83,61,38,30.69,30.47,30.2,10,10,10,23,13,28,T,
14,43,39,34,35,31,24,100,73,45,30.69,30.53,30.35,10,8,2,13,5,15,0.29,Rain
15,49,43,36,35,29,17,92,61,29,30.44,30.38,30.32,10,9,5,14,6,18,0,
16,46,42,38,38,31,26,70,60,49,30.49,30.41,30.31,10,10,9,13,6,14,0.01,Rain
17,53,47,41,52,45,39,100,93,86,30.28,30.05,29.89,10,6,0,14,5,17,0.21,"Fog , Rain"
18,60,52,44,47,43,36,100,74,47,30.1,29.94,29.88,10,5,0,25,11,31,0,Fog
19,53,47,40,39,37,36,93,76,59,30.12,30.07,30.03,10,10,10,13,6,16,0,
20,49,44,39,47,43,37,100,88,76,30.02,29.94,29.87,10,8,3,12,4,14,0.01,Rain
21,50,49,47,49,48,46,100,97,93,29.94,29.86,29.77,10,6,1,9,5,12,T,Rain
22,52,49,46,51,48,46,100,97,93,29.76,29.67,29.6,10,5,0,16,9,18,0.15,"Fog , Rain"
23,50,45,39,49,42,37,100,93,86,29.61,29.49,29.4,10,4,1,37,22,47,0.67,Rain
24,49,44,38,38,37,35,92,77,61,29.67,29.54,29.47,10,10,5,30,15,37,0.03,Rain
25,61,53,45,40,36,33,71,54,36,29.8,29.71,29.57,10,10,10,21,6,33,0,
26,61,52,43,44,34,23,82,57,32,29.81,29.59,29.47,10,10,10,32,12,45,T,Rain
27,45,42,38,26,19,14,53,42,30,29.87,29.83,29.78,10,10,10,26,14,34,0,
28,49,41,33,26,20,17,64,48,31,29.83,29.79,29.73,10,10,10,17,8,24,0,
29,47,41,35,31,25,20,70,54,37,29.83,29.77,29.73,10,10,10,16,7,20,T,
30,39,35,30,32,24,11,92,62,32,30.07,29.88,29.74,10,7,0,26,10,33,0.07,"Fog , Snow"
31,56,42,28,35,23,16,79,54,28,30.07,29.87,29.71,10,10,9,20,9,28,T,Snow
2017,Temp. (°F),,,Dew Point (°F),,,Humidity (%),,,Sea Level Press. (in),,,Visibility (mi),,,Wind (mph),,,Precip. (in),Events
Feb,high,avg,low,high,avg,low,high,avg,low,high,avg,low,high,avg,low,high,avg,high,sum,
1,51,43,34,36,31,27,92,66,39,30.09,30.01,29.93,10,10,10,14,5,17,0,
2,50,43,36,34,25,13,70,51,31,30.26,30.16,30.09,10,10,10,23,8,28,0,
3,40,35,30,13,11,9,41,36,30,30.36,30.26,30.18,10,10,10,26,11,35,0,
4,41,33,24,16,8,1,50,35,20,30.54,30.42,30.29,10,10,10,24,10,30,0,
5,54,43,32,32,21,12,70,50,29,30.27,30.06,29.92,10,10,10,17,10,23,0,
6,61,47,33,38,34,29,92,66,40,30.18,30.09,29.98,10,10,10,14,8,16,0,
7,73,61,48,54,45,38,72,66,59,29.96,29.77,29.6,10,10,10,22,13,32,T,Rain
8,74,63,51,54,47,41,89,64,38,29.69,29.64,29.59,10,10,10,18,10,23,T,Rain
9,53,39,25,45,26,5,89,63,36,30.26,29.79,29.48,10,9,4,36,21,49,0.12,"Rain , Snow , Thunderstorm"
10,39,31,23,14,8,4,50,39,27,30.44,30.3,30.05,10,10,10,23,12,32,0,
11,53,44,34,37,28,15,71,54,37,30.02,29.98,29.92,10,10,10,14,5,17,0,
12,55,50,45,47,40,30,86,64,41,30,29.83,29.68,10,10,7,52,9,65,0.03,Rain
13,47,41,35,24,19,13,56,42,27,30.11,30.02,29.88,10,10,10,37,19,49,0,
14,46,38,30,35,27,20,75,60,45,30.08,29.93,29.72,10,10,10,22,7,27,T,Rain
15,55,46,37,38,26,16,79,57,34,29.7,29.59,29.46,10,10,10,33,11,45,0,
16,42,37,32,23,16,13,61,47,33,29.96,29.81,29.66,10,10,3,30,13,36,T,Snow
17,51,40,28,29,20,15,64,48,31,29.99,29.94,29.88,10,10,10,10,4,13,0,
18,68,51,33,38,32,28,82,57,31,29.93,29.84,29.75,10,10,10,16,7,20,0,
19,71,60,49,47,43,37,86,60,33,30.06,29.91,29.79,10,10,10,18,9,25,0.01,Rain
20,68,56,43,44,37,29,92,58,24,30.32,30.2,30.07,10,10,10,20,7,24,0,
21,58,50,41,39,31,22,71,53,35,30.37,30.26,30.12,10,10,10,15,7,18,0,
